latitude,longitude,level
-23.702016,-46.645258,4.0
-23.701536,-46.645345,4.0
-23.701378,-46.645391,4.0
-23.701307,-46.645429,4.0
-23.701254,-46.645456,4.0
-23.700875,-46.645754,4.0
-23.700449,-46.646087,4.0
-23.700448,-46.646087,4.0
-23.700011,-46.646415,4.0
-23.699892,-46.646504,4.0
-23.699869,-46.646522,4.0
-23.699655,-46.646699,4.0
-23.699386,-46.647008,4.0
-23.699032,-46.647417,4.0
-23.698935,-46.647513,4.0
-23.698759,-46.647647,4.0
-23.698578,-46.647753,4.0
-23.698578,-46.647752,4.0
-23.698124,-46.648026,4.0
-23.697878,-46.648158,4.0
-23.69777,-46.64824,4.0
-23.69765,-46.64838,4.0
-23.697354,-46.648866,4.0
-23.69723,-46.649092,4.0
-23.697083,-46.6493,4.0
-23.696865,-46.649483,4.0
-23.696591,-46.649663,4.0
-23.69623,-46.649929,4.0
-23.696134,-46.650019,4.0
-23.696017,-46.650196,4.0
,,
-23.732925,-46.698216,4
-23.73311,-46.698258,4
-23.733177,-46.698261,4
-23.733249,-46.698232,4
-23.733278,-46.698187,4
-23.733322,-46.698081,4
-23.73336,-46.6979,4
-23.733356,-46.697807,4
-23.733266,-46.697332,4
-23.733258,-46.697147,4
-23.73329,-46.69689,4
-23.733343,-46.696714,4
-23.733424,-46.696555,4
-23.733552,-46.696411,4
-23.733641,-46.696346,4
-23.733759,-46.696278,4
-23.734059,-46.696174,4
-23.73452,-46.696084,4
-23.734708,-46.696018,4
-23.734874,-46.695909,4
-23.734972,-46.695824,4
-23.735197,-46.695572,4
-23.735318,-46.695436,4
-23.736041,-46.694627,4
,,
-23.669202,-46.711999,3
-23.668934,-46.711993,3
-23.667977,-46.711954,3
-23.666133,-46.71185,3
-23.66605,-46.711663,3
-23.666016,-46.711635,3
-23.665965,-46.711617,3
-23.665825,-46.711602,3
-23.665723,-46.71149,3
,,
-23.673305,-46.712162,3
-23.672989,-46.71215,3
-23.672714,-46.712138,3
-23.671329,-46.712075,3
-23.669971,-46.712016,3
,,
-23.64726,-46.72767,3
-23.648071,-46.727476,3
-23.648752,-46.727433,3
-23.649108,-46.727369,3
-23.649667,-46.727023,3
-23.649959,-46.7268,3
-23.650105,-46.726687,3
-23.650358,-46.726521,3
-23.650558,-46.726389,3
-23.650715,-46.726286,3
-23.651485,-46.725909,3
-23.65241,-46.725455,3
-23.652556,-46.725408,3
-23.653144,-46.725118,3
-23.653475,-46.724965,3
-23.65395,-46.724713,3
-23.654161,-46.724633,3
-23.654455,-46.724496,3
-23.655062,-46.724371,3
-23.655206,-46.724357,3
-23.655403,-46.724337,3
-23.655551,-46.724346,3
-23.655718,-46.724356,3
-23.655801,-46.724376,3
-23.656503,-46.724524,3
-23.6618,-46.725899,3
-23.662369,-46.726123,3
-23.662642,-46.726327,3
-23.662838,-46.726496,3
-23.6631,-46.72659,3
-23.663181,-46.7266,3
-23.663442,-46.726632,3
,,
-23.70886,-46.688958,3
-23.709214,-46.689016,3
-23.709746,-46.689214,3
-23.709882,-46.689242,3
-23.710023,-46.689192,3
-23.710558,-46.688874,3
-23.710662,-46.688863,3
-23.710783,-46.688883,3
-23.711325,-46.689029,3
-23.712972,-46.689471,3
,,
-23.652673,-46.711598,3
-23.652264,-46.708732,3
,,
-23.65881,-46.666332,3
-23.659354,-46.665801,3
-23.659874,-46.665206,3
-23.660058,-46.664973,3
-23.66017,-46.664841,3
-23.660169,-46.664841,3
-23.660823,-46.664085,3
,,
-23.663246,-46.728018,3
-23.66329,-46.728283,3
-23.663499,-46.728731,3
-23.663668,-46.72941,3
-23.663877,-46.730216,3
-23.66405,-46.730634,3
-23.664179,-46.73086,3
-23.664444,-46.731174,3
-23.665037,-46.731822,3
-23.665573,-46.732449,3
-23.665913,-46.732991,3
-23.666521,-46.733985,3
-23.666712,-46.734321,3
-23.666753,-46.734411,3
-23.666823,-46.734612,3
-23.666849,-46.734722,3
-23.666908,-46.735206,3
-23.666953,-46.73542,3
-23.666982,-46.735528,3
-23.667039,-46.735667,3
-23.6671,-46.735812,3
